date,season,city,tmin,tmax,tavg,precipitation,wind_speed,humidity,pressure
3/11/2000,Spring,Gilgit,-5.7,2,-2.4,3,2.3,69,1019.7
3/12/2000,Spring,Gilgit,-7.5,3.5,-2,0.4,2.3,71,1018.3
3/13/2000,Spring,Gilgit,-12.3,-0.5,-6.5,0,3.1,67,1025.3
3/14/2000,Spring,Gilgit,-11.7,1.4,-5.1,0,2.6,56,1024.9
3/15/2000,Spring,Gilgit,-10.8,1,-5.3,0,2.8,56,1027
3/16/2000,Spring,Gilgit,-6.6,1.4,-3,2.4,2.3,64,1021
3/17/2000,Spring,Gilgit,-5.7,4.2,-0.4,4.6,2.3,69,1017.9
3/18/2000,Spring,Gilgit,-8.5,3.7,-2.5,0,2.6,65,1022
3/19/2000,Spring,Gilgit,-11.6,1.6,-4,0,2.1,64,1029.5
3/20/2000,Spring,Gilgit,-11,1.4,-4.6,0,2.6,54,1027.2
3/21/2000,Spring,Gilgit,-7.5,2.8,-2.7,0,2.6,44,1024.8
3/22/2000,Spring,Gilgit,-3.9,4.5,-0.2,0,2.6,41,1023.7
3/23/2000,Spring,Gilgit,-2.7,5.5,0.5,0,2.3,54,1025.1
3/24/2000,Spring,Gilgit,-10.3,4.5,-2.3,0,2.6,58,1031.1
3/25/2000,Spring,Gilgit,-5.5,6.8,0.1,0,2.6,47,1030.7
3/26/2000,Spring,Gilgit,-3.8,8.5,1.8,0,2.6,49,1028
3/27/2000,Spring,Gilgit,0,10.1,5.1,0,2.1,51,1025.9
3/28/2000,Spring,Gilgit,4.5,9.7,7.1,3.5,1.9,66,1027.1
3/29/2000,Spring,Gilgit,6.7,9.4,8,20.8,2.2,88,1024.8
3/30/2000,Spring,Gilgit,7.6,9.5,8.5,25.4,3,90,1019.7
3/31/2000,Spring,Gilgit,6.2,9.3,7.6,10.4,1.9,83,1018.4
4/1/2000,Spring,Gilgit,1.4,11,7,4.6,2.6,74,1021.8
4/2/2000,Spring,Gilgit,-3.8,5.4,0.5,0,2.8,74,1028.2
4/3/2000,Spring,Gilgit,-0.1,9.6,4.5,0,2,41,1019.6
4/4/2000,Spring,Gilgit,3.3,7.1,4.9,6.3,1.3,63,1018.1
4/5/2000,Spring,Gilgit,-2.4,7.7,4.5,4.8,2.6,67,1024
4/6/2000,Spring,Gilgit,-7.5,5.8,-0.5,0,3.1,55,1026.2
4/7/2000,Spring,Gilgit,0.3,7.4,3.6,2,2.1,53,1025.1
4/8/2000,Spring,Gilgit,-2.2,7.1,2.7,0.2,2.3,77,1027.2
4/9/2000,Spring,Gilgit,-8.2,4.1,-1.2,0,2.8,76,1028.1
4/10/2000,Spring,Gilgit,-5.7,7.8,1.1,0,2.8,45,1027.3
